cluster,cen_x_loc,cen_y_loc,demand
0,64720.710859650004,101498.92377660002,876
1,83450.9559795862,74136.66607731035,1114
2,49267.8472126923,51223.49819576922,1033
3,130576.44902592308,103732.95910692308,1066
4,102201.23227521052,40291.105279105264,1604
5,79954.06500977419,92544.97815519354,963
6,76029.37130283333,148797.45716816664,580
7,21141.410543600003,92440.479318,467
8,76564.14884129608,82989.78178255892,5915
9,95566.7467885,69233.66963996667,1529
10,97747.08551343478,88747.51313678261,965
11,50783.03044338889,70321.13035794445,885
12,50312.09415009091,131422.02666972726,929
13,125716.23318784616,66287.78802730769,1143
14,39606.79031623077,99089.27716430768,1053
15,79455.0298887857,121290.47157707142,881
16,101262.3145105,107057.1418535,670
17,118525.69408944444,30066.311178444448,825
18,75065.1167058,22777.997650799996,463
19,88775.24092966666,45982.92190646667,668
20,67619.86741065,65692.12103714999,691
21,111138.41313722223,97764.80179855555,1236
22,99663.89515375,138015.92331025001,745
23,124205.41798116667,82270.69538116668,967
24,69931.11176947059,88946.38378779411,1302
25,61746.12743575001,47477.36178208333,886
26,7236.955768555563,61641.08792222223,854
27,41077.45014114286,118428.17496199999,562
28,93057.30249113333,56735.16253193333,622
29,68013.64573738462,79539.44437946154,934
30,33868.53532677778,65199.54852933333,1239
31,30822.620934699997,80858.3551413,838
32,65360.343707,112927.72155016667,954
33,109946.60755,81902.7718194,706
34,120520.800103,119670.52841163636,975
35,141304.48661114284,112889.29400742857,637
36,29053.596331199995,43931.860036,460
37,105613.34007238463,20647.315608307697,1160
38,90277.965342125,101007.39061125,608
39,86974.37640973333,85985.8511445,1077
40,48172.28173185715,147256.334071,662
41,76952.2232439,75560.139825,1191
42,50959.00142983334,86701.21036625,848
43,95858.02078181818,119585.67851518182,802
44,55547.90276070588,112197.09589247059,1027
45,112130.30102090909,58386.619942772726,1753
46,80532.60557508333,36830.79251866667,925
47,79684.26744516667,105763.11145811112,804
48,80068.81724447059,59613.49878570589,1037
49,67169.1987235,134422.22734530002,755
