cluster,cen_x_loc,cen_y_loc,demand
0,99806.7015,33374.28324999999,3090
1,54966.441111111104,180041.84555555554,3580
2,164196.433125,138144.46458333335,2916
3,39485.80475,72948.88500000001,2087
4,136786.03134615385,176268.2448076923,4803
5,82312.52020833333,109034.65708333332,4137
6,142556.03267857144,11168.710000000006,3605
7,12865.891388888893,160423.79722222223,3700
8,21150.436785714293,11704.673214285722,3175
9,188909.22125,23429.03687499999,1836
10,188434.3652083333,110666.9225,4492
11,119986.31859375001,135442.89625,4931
12,140948.98303571428,50908.319285714286,4659
13,61412.098125000004,3236.851250000007,1768
14,178380.63925,178519.19525,3610
15,78952.61964285714,147793.88785714286,3910
16,68528.95375,44673.98774999999,2884
17,48806.232083333336,106270.26125,1201
18,124465.490625,95120.65854166666,2905
19,25917.356333333344,42956.44283333334,4270
20,8926.471666666679,93793.64791666667,1947
21,162111.95204545456,87321.92772727273,4160
22,48293.1325,144588.255,1971
23,189074.2055,52698.73849999999,1562
24,90490.93722222222,78989.45333333334,2615
