index,loctype,y_loc,x_loc,demand,capacity,setup_cost,cluster,cen_x_loc,cen_y_loc,centroid_dist
0,Facility,95787.725,128659.9725,0,4765,9730.3749,22,126836.50375,98137.57225,2974.360499428253
6,Facility,105248.1725,116701.79,0,5099,9295.8959,22,126836.50375,98137.57225,12380.349700623943
22,Facility,104456.4975,135498.0625,0,4445,8463.1766,22,126836.50375,98137.57225,10721.539828531584
45,Facility,93445.9775,132053.6525,0,5652,9121.5227,22,126836.50375,98137.57225,7016.388129077102
19,Customer,99968.3025,136301.04,389,0,0.0,22,126836.50375,98137.57225,9639.96990015162
20,Customer,94885.3125,129213.095,474,0,0.0,22,126836.50375,98137.57225,4028.073913304794
78,Customer,101107.55,117579.9525,330,0,0.0,22,126836.50375,98137.57225,9721.3429565761
87,Customer,94754.17,125348.03,444,0,0.0,22,126836.50375,98137.57225,3696.3448012521953
101,Customer,106845.7975,113001.26,407,0,0.0,22,126836.50375,98137.57225,16347.695758933487
154,Customer,84876.2175,134008.1825,416,0,0.0,22,126836.50375,98137.57225,15076.35585605981
1,Facility,59675.055,46093.0725,0,4800,7582.5512,2,37723.0425,52429.548125,11070.445884270977
18,Facility,51418.6525,30882.8525,0,4633,4867.0357,2,37723.0425,52429.548125,6914.485461749427
53,Customer,46299.6225,34073.69,362,0,0.0,2,37723.0425,52429.548125,7133.9863917229295
128,Customer,52324.8625,39842.555,419,0,0.0,2,37723.0425,52429.548125,2122.096208407592
2,Facility,88631.495,13670.385,0,5543,9211.2124,11,8926.471666666679,93793.64791666667,7010.886994469951
44,Customer,96037.3475,9612.785,427,0,0.0,11,8926.471666666679,93793.64791666667,2346.319205002012
91,Customer,96835.5125,2332.1875,444,0,0.0,11,8926.471666666679,93793.64791666667,7262.060576316374
106,Customer,94240.3975,4005.5975,371,0,0.0,11,8926.471666666679,93793.64791666667,4941.111995732944
170,Customer,99730.9175,6372.105,349,0,0.0,11,8926.471666666679,93793.64791666667,6463.432460616646
181,Customer,87286.2175,17565.77,356,0,0.0,11,8926.471666666679,93793.64791666667,10815.920040389281
3,Facility,198056.1075,132462.04,0,5016,8448.5819,32,125090.1875,185922.4745,14197.508903340944
7,Customer,187373.0425,113101.8825,381,0,0.0,32,125090.1875,185922.4745,12075.744461342696
15,Customer,177295.725,116084.7575,548,0,0.0,32,125090.1875,185922.4745,12470.708737704133
99,Customer,180797.73,129006.01,415,0,0.0,32,125090.1875,185922.4745,6449.548204470331
186,Customer,186089.7675,134796.2475,361,0,0.0,32,125090.1875,185922.4745,9707.501618410834
4,Facility,84473.49,46535.495,0,4924,7591.9,14,51704.64,82382.480625,5576.054181709759
37,Facility,88907.045,59664.48,0,5329,7455.7327,14,51704.64,82382.480625,10292.181163831077
65,Customer,82204.09,52688.0975,480,0,0.0,14,51704.64,82382.480625,999.5058125864745
180,Customer,73945.2975,47930.4875,378,0,0.0,14,51704.64,82382.480625,9242.850543963206
5,Facility,125211.0,123240.4925,0,4775,8264.8269,3,118550.31931818182,128524.1065909091,5742.333999182884
15,Facility,131862.95,132821.4475,0,4471,8585.5263,3,118550.31931818182,128524.1065909091,14656.499407850264
21,Facility,119835.265,124526.135,0,4992,8726.1958,3,118550.31931818182,128524.1065909091,10545.441728774369
