index,loctype,y_loc,x_loc,demand,capacity,setup_cost,cluster,cen_x_loc,cen_y_loc,centroid_dist
0,Facility,95787.725,128659.9725,0,4765,9730.3749,18,124465.490625,95120.65854166666,4247.193880615398
6,Facility,105248.1725,116701.79,0,5099,9295.8959,18,124465.490625,95120.65854166666,12760.939870200085
14,Facility,77546.31,114580.1425,0,4522,8918.8834,18,124465.490625,95120.65854166666,20163.775296715205
22,Facility,104456.4975,135498.0625,0,4445,8463.1766,18,124465.490625,95120.65854166666,14452.52681135639
45,Facility,93445.9775,132053.6525,0,5652,9121.5227,18,124465.490625,95120.65854166666,7770.762976215472
19,Customer,99968.3025,136301.04,389,0,0.0,18,124465.490625,95120.65854166666,12789.8350636288
20,Customer,94885.3125,129213.095,474,0,0.0,18,124465.490625,95120.65854166666,4753.434028241821
67,Customer,82525.87,110640.7075,445,0,0.0,18,124465.490625,95120.65854166666,18701.693154968158
78,Customer,101107.55,117579.9525,330,0,0.0,18,124465.490625,95120.65854166666,9124.335844580322
87,Customer,94754.17,125348.03,444,0,0.0,18,124465.490625,95120.65854166666,955.6095434843343
101,Customer,106845.7975,113001.26,407,0,0.0,18,124465.490625,95120.65854166666,16398.398318598505
154,Customer,84876.2175,134008.1825,416,0,0.0,18,124465.490625,95120.65854166666,14000.412153839443
1,Facility,59675.055,46093.0725,0,4800,7582.5512,3,39485.80475,72948.88500000001,14827.358159466246
4,Facility,84473.49,46535.495,0,4924,7591.9,3,39485.80475,72948.88500000001,13509.798408080336
12,Facility,72496.57,29639.29,0,3467,8972.7051,3,39485.80475,72948.88500000001,9856.898172406602
33,Facility,64466.845,35303.33,0,5346,8157.1147,3,39485.80475,72948.88500000001,9457.171754599136
36,Facility,84078.345,29989.115,0,4149,7304.616,3,39485.80475,72948.88500000001,14630.51592047782
35,Customer,71427.8575,44070.0525,468,0,0.0,3,39485.80475,72948.88500000001,4829.995040280714
65,Customer,82204.09,52688.0975,480,0,0.0,3,39485.80475,72948.88500000001,16123.25505128314
71,Customer,66255.0875,26764.2425,386,0,0.0,3,39485.80475,72948.88500000001,14375.154644442318
179,Customer,70466.2125,35844.865,375,0,0.0,3,39485.80475,72948.88500000001,4406.824821272843
180,Customer,73945.2975,47930.4875,378,0,0.0,3,39485.80475,72948.88500000001,8503.264350724596
2,Facility,88631.495,13670.385,0,5543,9211.2124,20,8926.471666666679,93793.64791666667,7010.886994469951
44,Customer,96037.3475,9612.785,427,0,0.0,20,8926.471666666679,93793.64791666667,2346.319205002012
91,Customer,96835.5125,2332.1875,444,0,0.0,20,8926.471666666679,93793.64791666667,7262.060576316374
106,Customer,94240.3975,4005.5975,371,0,0.0,20,8926.471666666679,93793.64791666667,4941.111995732944
170,Customer,99730.9175,6372.105,349,0,0.0,20,8926.471666666679,93793.64791666667,6463.432460616646
181,Customer,87286.2175,17565.77,356,0,0.0,20,8926.471666666679,93793.64791666667,10815.920040389281
3,Facility,198056.1075,132462.04,0,5016,8448.5819,4,136786.03134615385,176268.2448076923,22212.785999519903
7,Customer,187373.0425,113101.8825,381,0,0.0,4,136786.03134615385,176268.2448076923,26158.27667018324
14,Customer,195015.1375,156424.5225,323,0,0.0,4,136786.03134615385,176268.2448076923,27149.886195278857
15,Customer,177295.725,116084.7575,548,0,0.0,4,136786.03134615385,176268.2448076923,20726.75696772261
51,Customer,163448.0075,134525.5275,486,0,0.0,4,136786.03134615385,176268.2448076923,13018.00146965815
57,Customer,153980.0375,143151.145,424,0,0.0,4,136786.03134615385,176268.2448076923,23179.276451542806
82,Customer,173219.4175,149304.88,368,0,0.0,4,136786.03134615385,176268.2448076923,12884.755316653707
99,Customer,180797.73,129006.01,415,0,0.0,4,136786.03134615385,176268.2448076923,9002.49788969397
166,Customer,166995.005,130074.9475,410,0,0.0,4,136786.03134615385,176268.2448076923,11446.904512621579
173,Customer,164036.7375,152715.6275,228,0,0.0,4,136786.03134615385,176268.2448076923,20083.86926472986
177,Customer,174642.545,152576.215,423,0,0.0,4,136786.03134615385,176268.2448076923,15873.651113934719
186,Customer,186089.7675,134796.2475,361,0,0.0,4,136786.03134615385,176268.2448076923,10021.055221379112
198,Customer,170537.9225,133994.605,436,0,0.0,4,136786.03134615385,176268.2448076923,6374.061091332428
5,Facility,125211.0,123240.4925,0,4775,8264.8269,11,119986.31859375001,135442.89625,10736.915231242265
15,Facility,131862.95,132821.4475,0,4471,8585.5263,11,119986.31859375001,135442.89625,13325.034678864564
21,Facility,119835.265,124526.135,0,4992,8726.1958,11,119986.31859375001,135442.89625,16254.478959303273
44,Facility,149749.66,119970.895,0,5431,7043.196,11,119986.31859375001,135442.89625,14306.772063801065
5,Customer,142225.58,136077.4825,225,0,0.0,11,119986.31859375001,135442.89625,17462.255143890117
55,Customer,128876.9575,116433.7175,455,0,0.0,11,119986.31859375001,135442.89625,7465.422037638941
62,Customer,137471.5975,118415.1625,533,0,0.0,11,119986.31859375001,135442.89625,2565.961853317267
75,Customer,119635.4825,106013.335,365,0,0.0,11,119986.31859375001,135442.89625,21097.83401145472
92,Customer,132744.68,110295.04,338,0,0.0,11,119986.31859375001,135442.89625,10059.883285279275
105,Customer,154659.7775,116357.5525,437,0,0.0,11,119986.31859375001,135442.89625,19556.494275297693
114,Customer,135847.075,128615.54,519,0,0.0,11,119986.31859375001,135442.89625,8638.681759390985
125,Customer,135435.765,114674.9925,530,0,0.0,11,119986.31859375001,135442.89625,5311.330881132936
135,Customer,156289.4525,112857.1225,453,0,0.0,11,119986.31859375001,135442.89625,22031.893800296777
161,Customer,127479.52,107161.7025,391,0,0.0,11,119986.31859375001,135442.89625,15095.898093559574
178,Customer,150396.6975,130464.5325,290,0,0.0,11,119986.31859375001,135442.89625,18259.4944751938
192,Customer,119364.88,121855.9475,395,0,0.0,11,119986.31859375001,135442.89625,16186.35594512703
7,Facility,5504.75,158406.5975,0,4879,8343.3582,6,142556.03267857144,11168.710000000006,16832.137358039494
30,Facility,2298.2125,150271.1875,0,4905,8324.8659,6,142556.03267857144,11168.710000000006,11756.246842258744
42,Facility,16312.3125,125770.095,0,5022,7514.6002,6,142556.03267857144,11168.710000000006,17556.319387243173
43,Facility,10229.7475,144743.585,0,4575,10025.4721,6,142556.03267857144,11168.710000000006,2380.553661523659
46,Facility,4699.1875,133735.3725,0,4090,6987.6147,6,142556.03267857144,11168.710000000006,10938.864994314647
18,Customer,3238.3725,148599.9075,356,0,0.0,6,142556.03267857144,11168.710000000006,9970.891420580432
63,Customer,21015.8475,151106.9075,328,0,0.0,6,142556.03267857144,11168.710000000006,13041.609454191113
70,Customer,29094.99,152614.475,498,0,0.0,6,142556.03267857144,11168.710000000006,20555.38315312816
74,Customer,5676.2525,125875.3975,383,0,0.0,6,142556.03267857144,11168.710000000006,17561.62519102094
90,Customer,1501.83,157421.405,362,0,0.0,6,142556.03267857144,11168.710000000006,17732.11389510834
116,Customer,19563.2175,154515.525,277,0,0.0,6,142556.03267857144,11168.710000000006,14611.543818291912
