data_type,source_index,destination_index
facility_loc,32,
facility_loc,51,
facility_loc,48,
facility_loc,34,
facility_loc,66,
facility_loc,25,
facility_loc,87,
fac_cust_alloc,32,1.0
fac_cust_alloc,32,9.0
fac_cust_alloc,32,23.0
fac_cust_alloc,32,33.0
fac_cust_alloc,32,35.0
fac_cust_alloc,32,45.0
fac_cust_alloc,32,48.0
fac_cust_alloc,51,5.0
fac_cust_alloc,51,10.0
fac_cust_alloc,51,21.0
fac_cust_alloc,51,24.0
fac_cust_alloc,51,29.0
fac_cust_alloc,51,39.0
fac_cust_alloc,51,41.0
fac_cust_alloc,48,4.0
fac_cust_alloc,48,13.0
fac_cust_alloc,48,17.0
fac_cust_alloc,48,18.0
fac_cust_alloc,48,19.0
fac_cust_alloc,48,28.0
fac_cust_alloc,48,37.0
fac_cust_alloc,48,46.0
fac_cust_alloc,34,2.0
fac_cust_alloc,34,11.0
fac_cust_alloc,34,20.0
fac_cust_alloc,34,25.0
fac_cust_alloc,34,26.0
fac_cust_alloc,34,30.0
fac_cust_alloc,34,31.0
fac_cust_alloc,34,36.0
fac_cust_alloc,66,3.0
fac_cust_alloc,66,6.0
fac_cust_alloc,66,15.0
fac_cust_alloc,66,16.0
fac_cust_alloc,66,22.0
fac_cust_alloc,66,34.0
fac_cust_alloc,66,38.0
fac_cust_alloc,66,43.0
fac_cust_alloc,66,47.0
fac_cust_alloc,66,49.0
fac_cust_alloc,25,7.0
fac_cust_alloc,25,8.0
fac_cust_alloc,25,42.0
fac_cust_alloc,87,0.0
fac_cust_alloc,87,12.0
fac_cust_alloc,87,14.0
fac_cust_alloc,87,27.0
fac_cust_alloc,87,32.0
fac_cust_alloc,87,40.0
fac_cust_alloc,87,44.0
