data_type,source_index,destination_index
facility_loc,34,
facility_loc,35,
facility_loc,16,
facility_loc,33,
facility_loc,3,
facility_loc,24,
facility_loc,43,
facility_loc,5,
facility_loc,28,
facility_loc,10,
facility_loc,41,
facility_loc,27,
facility_loc,23,
facility_loc,0,
facility_loc,38,
facility_loc,2,
facility_loc,9,
facility_loc,47,
facility_loc,8,
facility_loc,29,
fac_cust_alloc,34,0.0
fac_cust_alloc,34,24.0
fac_cust_alloc,35,1.0
fac_cust_alloc,16,2.0
fac_cust_alloc,33,3.0
fac_cust_alloc,33,8.0
fac_cust_alloc,3,4.0
fac_cust_alloc,24,5.0
fac_cust_alloc,43,6.0
fac_cust_alloc,5,10.0
fac_cust_alloc,28,9.0
fac_cust_alloc,28,23.0
fac_cust_alloc,10,14.0
fac_cust_alloc,41,15.0
fac_cust_alloc,27,13.0
fac_cust_alloc,27,16.0
fac_cust_alloc,23,17.0
fac_cust_alloc,0,18.0
fac_cust_alloc,38,19.0
fac_cust_alloc,2,20.0
fac_cust_alloc,9,21.0
fac_cust_alloc,47,7.0
fac_cust_alloc,47,22.0
fac_cust_alloc,8,12.0
fac_cust_alloc,29,11.0
